epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2426,3.05147,10.6245,1.4463,0,0,0,0,2.96328,11.1605,1.203,6e-05,6e-05,6e-05
2,25.5152,2.48719,9.51044,1.21595,0,0,0,0,2.12715,7.75392,1.0018,0.000137228,0.000137228,0.000137228
3,38.9585,1.94838,5.34951,1.00248,0.00333,1,0.0065,0.00209,1.68898,7.32996,0.91852,0.000211288,0.000211288,0.000211288
4,51.2674,1.92069,4.47836,0.94163,0.00333,1,0.0069,0.00211,1.81327,6.24917,0.92329,0.00028218,0.00028218,0.00028218
5,63.1418,1.90573,4.12818,0.97291,0.00333,1,0.00679,0.00141,1.64802,6.50304,0.88261,0.000349904,0.000349904,0.000349904
6,77.4578,1.79918,3.94704,0.95056,0.00333,1,0.0067,0.00138,1.50937,6.17927,0.83487,0.00041446,0.00041446,0.00041446
7,89.3173,1.57552,3.30888,0.90333,0.00333,1,0.00602,0.00112,1.64583,6.43114,0.82461,0.000475848,0.000475848,0.000475848
8,101.363,1.66145,3.4068,0.85942,0.00333,1,0.00587,0.00128,1.29855,5.77857,0.80967,0.000534068,0.000534068,0.000534068
9,115.109,1.67995,3.34771,0.89996,0.00267,0.8,0.00366,0.00049,1.51966,6.0014,0.86253,0.00058912,0.00058912,0.00058912
10,128.065,1.72924,3.77797,0.96415,0.00267,0.8,0.00348,0.00051,1.25228,5.72972,0.81942,0.000641004,0.000641004,0.000641004
11,140.613,1.50608,2.59701,0.89134,0.00333,1,0.00452,0.0021,1.5438,5.58201,0.83681,0.00068972,0.00068972,0.00068972
12,153.358,1.73502,3.23383,0.89358,0.00267,0.8,0.00304,0.00164,1.5975,5.82751,0.83563,0.000735268,0.000735268,0.000735268
13,167.065,1.62222,2.98034,0.91523,0.00267,0.8,0.0033,0.00103,1.60436,5.71716,0.80572,0.000777648,0.000777648,0.000777648
14,180.067,1.57458,2.71289,0.89519,0.00333,1,0.00487,0.00192,1.63955,5.34269,0.81526,0.00081686,0.00081686,0.00081686
15,192.482,1.53931,2.86933,0.90295,0.00333,1,0.01301,0.00724,1.27606,4.61513,0.79021,0.000852904,0.000852904,0.000852904
16,204.737,1.62528,2.40624,0.94217,0.00333,1,0.01724,0.00958,1.40575,4.7471,0.80466,0.00088578,0.00088578,0.00088578
17,217.18,1.61314,2.71348,0.90685,0.00333,1,0.00482,0.00218,1.69833,5.25638,0.82719,0.000915488,0.000915488,0.000915488
18,229.906,1.49646,2.45323,0.88755,0.00333,1,0.11576,0.0882,1.34586,4.86385,0.80477,0.000942028,0.000942028,0.000942028
19,244.692,1.61601,2.34155,0.96284,0.00333,1,0.995,0.64744,1.18621,4.4483,0.78514,0.0009654,0.0009654,0.0009654
20,256.112,1.61807,2.22462,0.89199,0.00333,1,0.995,0.67941,1.36891,4.25274,0.79582,0.000985604,0.000985604,0.000985604
21,267.268,1.58017,2.51676,0.87191,0.00333,1,0.77682,0.41091,1.66575,4.41081,0.84234,0.00100264,0.00100264,0.00100264
22,278.418,1.54894,2.26909,0.92369,0.00333,1,0.30115,0.20978,1.20111,4.31849,0.80591,0.00101651,0.00101651,0.00101651
23,289.241,1.49206,2.48511,0.92917,0.00333,1,0.995,0.65165,1.17115,3.70736,0.81343,0.00102721,0.00102721,0.00102721
24,300.629,1.64836,2.28854,0.92572,0.95222,1,0.995,0.62011,1.41806,3.34148,0.83075,0.00103474,0.00103474,0.00103474
25,312.122,1.53241,1.8847,0.91003,0.97824,1,0.995,0.51262,1.67842,3.27966,0.86757,0.0010391,0.0010391,0.0010391
26,323.452,1.55352,2.1007,0.91843,0.40616,0.96039,0.41458,0.24872,1.42275,3.24073,0.83332,0.00101,0.00101,0.00101
27,334.562,1.4434,2.08113,0.9011,0.38903,0.8,0.41458,0.25995,1.39668,3.33878,0.83638,0.0009704,0.0009704,0.0009704
28,345.627,1.54943,1.90568,0.89152,0.98194,1,0.995,0.59968,1.45492,3.0929,0.84038,0.0009308,0.0009308,0.0009308
29,356.982,1.34977,1.99673,0.87988,0.91679,1,0.995,0.58015,1.54331,2.88849,0.83626,0.0008912,0.0008912,0.0008912
30,369.055,1.35001,2.18738,0.90479,0.93635,1,0.995,0.4917,1.65907,2.74863,0.83655,0.0008516,0.0008516,0.0008516
31,380.228,1.24416,1.79457,0.87681,0.92366,1,0.995,0.56344,1.58445,2.66509,0.82074,0.000812,0.000812,0.000812
32,391.454,1.4521,1.79823,0.89708,0.92106,1,0.995,0.60928,1.42738,2.58761,0.80069,0.0007724,0.0007724,0.0007724
33,402.758,1.53527,1.86677,0.89419,0.96442,1,0.995,0.67768,1.25308,2.60528,0.78822,0.0007328,0.0007328,0.0007328
34,414.111,1.42133,1.74641,0.90375,0.97555,1,0.995,0.66811,1.23425,2.51081,0.79273,0.0006932,0.0006932,0.0006932
35,425.271,1.26862,1.76111,0.88172,0.9793,1,0.995,0.66811,1.25855,2.37152,0.79712,0.0006536,0.0006536,0.0006536
36,436.28,1.45471,2.22366,0.89226,0.98259,1,0.995,0.66424,1.25664,2.27047,0.79279,0.000614,0.000614,0.000614
37,447.18,1.46463,1.92993,0.88072,0.98345,1,0.995,0.70628,1.11648,2.20121,0.78201,0.0005744,0.0005744,0.0005744
38,458.178,1.44539,1.84651,0.87069,0.98477,1,0.995,0.71961,1.00552,2.10446,0.77297,0.0005348,0.0005348,0.0005348
39,470.05,1.46765,1.79723,0.89485,0.9829,1,0.995,0.74228,0.92296,2.04636,0.76705,0.0004952,0.0004952,0.0004952
40,481.73,1.39155,1.90964,0.85852,0.98492,1,0.995,0.74228,0.88588,1.95569,0.76245,0.0004556,0.0004556,0.0004556
41,493.355,1.34365,1.72945,0.89412,0.98746,1,0.995,0.69992,0.99639,1.86255,0.76468,0.000416,0.000416,0.000416
42,504.142,1.31339,1.52508,0.88446,0.98783,1,0.995,0.59378,1.2679,1.83986,0.78346,0.0003764,0.0003764,0.0003764
43,514.832,1.34155,1.57915,0.89659,0.98753,1,0.995,0.5423,1.4138,1.8439,0.79532,0.0003368,0.0003368,0.0003368
44,525.598,1.31807,1.71317,0.87419,0.98689,1,0.995,0.55422,1.33969,1.83057,0.79465,0.0002972,0.0002972,0.0002972
45,536.292,1.3047,1.50911,0.91733,0.98637,1,0.995,0.6444,1.14113,1.84249,0.78541,0.0002576,0.0002576,0.0002576
46,547.401,1.31646,1.59385,0.92965,0.98737,1,0.995,0.6868,1.02402,1.82954,0.77281,0.000218,0.000218,0.000218
47,558.439,1.32705,1.51503,0.91023,0.98869,1,0.995,0.70553,1.01033,1.81104,0.77024,0.0001784,0.0001784,0.0001784
